id;jhi_key;shift_start;shift_end;type
1;30758;2023-12-30T18:04:26;2023-12-30T03:34:11;describe knotty
2;30335;2023-12-30T09:42:11;2023-12-30T14:01:48;secure since offering
3;11946;2023-12-30T12:43:36;2023-12-30T13:36:22;by wherever lavish
4;11905;2023-12-30T22:12:10;2023-12-30T09:00:52;misappropriate sigh
5;10944;2023-12-31T01:05:39;2023-12-30T14:47:22;pink unnecessarily
6;11140;2023-12-30T13:39:02;2023-12-30T15:16:41;bean instead how
7;1324;2023-12-30T22:02:57;2023-12-30T14:32:14;geez slow likewise
8;22742;2023-12-30T18:04:22;2023-12-31T01:58:34;since glorious mountainous
9;14402;2023-12-30T22:50:34;2023-12-30T10:15:10;debit yahoo flawed
10;26882;2023-12-30T12:33:10;2023-12-30T21:22:08;properly evil
