id;jhi_key;shift_start;shift_end;type
1;16716;2023-12-30T21:29:31;2023-12-31T00:44:36;repair now ant
2;10651;2023-12-30T21:15:22;2023-12-30T16:28:10;internal amused instead
3;27931;2023-12-30T08:32:45;2023-12-30T09:21:02;desktop within
4;22171;2023-12-30T07:11:30;2023-12-30T06:42:56;keenly scorn
5;14268;2023-12-30T19:46:11;2023-12-31T01:58:35;wealthy mmm comport
6;31067;2023-12-30T23:06:16;2023-12-30T10:37:52;keystone
7;30896;2023-12-30T21:06:51;2023-12-30T10:15:10;because which
8;9531;2023-12-30T23:19:42;2023-12-30T10:03:54;unwieldy once
9;3552;2023-12-30T16:44:45;2023-12-30T07:04:27;when objectify courthouse
10;25430;2023-12-30T05:13:23;2023-12-30T19:13:12;nippy
